time,crime
1/3/2018,FRAUD-CREDIT DEVICE/OVER $150
1/3/2018,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/3/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/3/2019,LEAVING SCENE OF ACCIDENT
1/3/2019,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
1/3/2019,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
1/3/2019,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
1/3/2019,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS
1/3/2019,SIMPLE ASSAULT-ADULT/NO INJURY
1/3/2019,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL
1/3/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/3/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/3/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/3/2019,"LARCENY-FROM MTR VEH $500 - $24,999"
1/3/2019,BURGLARY-BUSINESS/NIT/FORCE ENT/UNOCCUPIE
1/3/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/3/2019,BURGLARY-BUSINESS/NIT/FORCE ENT/UNOCCUPIE
1/3/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/3/2019,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR
1/3/2019,LARCENY-FROM BUILDING UNDER $500
1/3/2019,DRUGS-POSSESSION/OTHR UNSPEC DRUG
1/3/2019,FAILURE TO RETURN BORROWED/RENTED VEHICL
1/3/2019,LARCENY-FROM BUILDING UNDER $500
1/3/2019,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED
1/3/2019,LEAVING SCENE OF ACCIDENT
1/3/2019,ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS
1/3/2019,LARCENY-ALL OTHER UNDER $500
1/3/2019,SIMPLE ASSAULT-HARRASSMENT
1/3/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/3/2019,PUBLIC ORDER-TRESPASSING
1/3/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/3/2019,SIMPLE ASSAULT-ADULT/NO INJURY
1/3/2019,ROBBERY-COMMERCE PL/STRNGARM/NO INJ/SUCCESS
1/3/2019,"LARCENY-FROM BUILDING $500 - $24,999"
1/3/2019,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION
1/3/2019,DRUGS-POSSESSION/COCAINE
1/3/2019,ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT
1/3/2019,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED
1/3/2019,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED
1/3/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE
1/3/2019,LARCENY-SHOPLIFT UNDER $500
1/3/2019,LARCENY-SHOPLIFT UNDER $500
1/3/2019,"LARCENY-FROM BUILDING $500 - $24,999"
1/3/2019,LOITERING-BEGGING
1/3/2019,DRUGS-POSSESSION/OTHR UNSPEC DRUG
1/3/2019,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE
1/3/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/3/2019,"LARCENY-FROM BUILDING $500 - $24,999"
1/3/2019,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET"
1/3/2019,LARCENY-ALL OTHER UNDER $500
1/3/2019,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE
1/3/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/3/2019,HOMICIDE
1/3/2019,HOMICIDE
1/3/2019,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION
1/3/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/3/2019,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
1/3/2019,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL
1/3/2019,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL
1/3/2019,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT
1/3/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/3/2019,LEAVING SCENE OF ACCIDENT
1/3/2019,LEAVING SCENE OF ACCIDENT
1/3/2019,LEAVING SCENE OF ACCIDENT
1/3/2019,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED
1/3/2019,LARCENY-MTR VEH PARTS UNDER $500
1/3/2019,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
1/3/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/3/2019,DRUGS-POSSESSION/HEROIN
1/3/2019,LEAVING SCENE OF ACCIDENT
1/3/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/3/2019,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
1/3/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/3/2019,LARCENY-ALL OTHER UNDER $500
1/3/2019,LARCENY-MTR VEH PARTS UNDER $500
1/3/2019,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT
1/3/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/3/2019,BURGLARY-RESIDENCE/DAY/ATT FORCE ENTRY
1/3/2019,LEAVING SCENE OF ACCIDENT
1/3/2019,LARCENY-FROM BUILDING UNDER $500
1/3/2019,LEAVING SCENE OF ACCIDENT
1/3/2019,LARCENY-ALL OTHER UNDER $500
1/3/2019,AUTO THEFT-PERM RETNT/JOY RIDE
1/3/2019,LARCENY-FROM MTR VEH UNDER $500
1/3/2019,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED
1/3/2019,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC"
1/3/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/3/2019,ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL
1/3/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/3/2019,LARCENY-BICYCLES UNDER $500
1/3/2019,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET"
1/3/2019,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC"
1/3/2019,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS
1/3/2019,LEAVING SCENE OF ACCIDENT
1/3/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/3/2019,"LARCENY-FROM MTR VEH $500 - $24,999"
1/3/2019,"LARCENY-FROM MTR VEH $500 - $24,999"
1/3/2019,LEAVING SCENE OF ACCIDENT
1/3/2019,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET"
1/3/2019,LARCENY-FROM MTR VEH UNDER $500
1/3/2019,PUBLIC ORDER-TRESPASSING
1/3/2019,LEAVING SCENE OF ACCIDENT
1/3/2019,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC
1/3/2019,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR
1/3/2019,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED
1/3/2019,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
1/3/2019,LEAVING SCENE OF ACCIDENT
1/4/2018,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC"
1/4/2019,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY
1/4/2019,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC"
1/4/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/4/2019,LEAVING SCENE OF ACCIDENT
1/4/2019,"LARCENY-ALL OTHER $500 - $24,999"
1/4/2019,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
1/4/2019,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED
1/4/2019,AGG.ASSAULT-KNIFE/CITIZEN ADULT 3RD DEGREE
1/4/2019,LEAVING SCENE OF ACCIDENT
1/4/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/4/2019,BURGLARY-BUSINESS/NIT/UNLAW ENT/OCCUPIED
1/4/2019,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
1/4/2019,HEALTH-SANITATION VIOL
1/4/2019,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR
1/4/2019,LEAVING SCENE OF ACCIDENT
1/4/2019,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE
1/4/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/4/2019,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED
1/4/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/4/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/4/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/4/2019,"LARCENY-FROM MTR VEH $500 - $24,999"
1/4/2019,PUBLIC ORDER-TRESPASSING
1/4/2019,SIMPLE ASSAULT-HARRASSMENT
